"","title","author","path","date","response"
"45","[<U+6709><U+96F7>] <U+611B><U+60C5><U+50F9><U+66F4><U+9AD8>,<U+81EA><U+7531><U+662F><U+5565><U+5C0F>——«<U+8B8A><U+4EBA>»","Ingen","/bbs/movie/M.1370401192.A.4CB.html"," 6/05","3"
"46","[<U+6709><U+96F7>] <U+611B><U+5728><U+5FC3><U+88E1><U+53E3><U+96E3><U+958B><U+7684><U+507D><U+7269>——«<U+7537><U+4EBA><U+767E><U+5206><U+767E>»","Ingen","/bbs/movie/M.1370401641.A.A82.html"," 6/05","1"
"47","[<U+554F><U+7247>] <U+4E00><U+90E8><U+53EF><U+4EE5><U+7A7F><U+8D8A><U+6642><U+7A7A><U+6539><U+8B8A><U+7D50><U+5C40><U+7684><U+96FB><U+5F71>(<U+5DF2><U+89E3><U+6C7A>)","tsukasaxx","/bbs/movie/M.1370401710.A.368.html"," 6/05","2"
"48","[<U+597D><U+5FAE><U+96F7>]«<U+672B><U+8DEF><U+8ECA><U+795E>» ","gracekuo0708","/bbs/movie/M.1370402102.A.72A.html"," 6/05",""
"49","Re: [<U+8A0E><U+8AD6>] <U+9999><U+6E2F><U+6700><U+6703><U+6F14><U+7684><U+7537><U+6F14><U+54E1>","takuminauki","/bbs/movie/M.1370403271.A.CC4.html"," 6/05","74"
"50","[<U+8F49><U+9304>] <U+4E5D><U+628A><U+5200><U+8AC7><U+5BEB><U+4F5C><U+8207><U+300C><U+5C0F><U+5C0F><U+5C0F><U+5468><U+8FC5><U+300D>","wty","/bbs/movie/M.1370409797.A.F55.html"," 6/05",""
"51","Re: [<U+8A0E><U+8AD6>] <U+9999><U+6E2F><U+6700><U+6703><U+6F14><U+7684><U+7537><U+6F14><U+54E1>","silencedance","/bbs/movie/M.1370410914.A.C0A.html"," 6/05","7"
"52","[<U+60C5><U+5831>]«<U+6200><U+6200><U+6D77><U+7063>»<U+4ECA><U+5E74><U+6691><U+5047><U+6700><U+967D><U+5149><U+7684><U+570B><U+7247>","seimove","/bbs/movie/M.1370411486.A.5AE.html"," 6/05","4"
"53","[<U+554F><U+7247>] <U+8DDF><U+5730><U+79D1><U+6709><U+95DC> <U+6709><U+53EB><U+8001><U+9F20><U+7684><U+99ED><U+5BA2>","a28956325","/bbs/movie/M.1370412192.A.2DA.html"," 6/05","3"
"54","Re: [<U+8A0E><U+8AD6>] <U+9999><U+6E2F><U+6700><U+6703><U+6F14><U+7684><U+7537><U+6F14><U+54E1>","kzzoz80","/bbs/movie/M.1370412412.A.F0B.html"," 6/05","19"
"55","[<U+8ACB><U+76CA>] <U+5730><U+7403><U+904E><U+5F8C><U+600E><U+90FD><U+9084><U+6C92><U+9109><U+6C11><U+5F71><U+8A55>","comodo","/bbs/movie/M.1370413478.A.8E6.html"," 6/05","23"
"56","[<U+8ACB><U+76CA>] <U+8D85><U+4EBA><U+7684><U+670D><U+88DD><U+6709><U+4EC0><U+9EBC><U+529F><U+80FD>","ibalance","/bbs/movie/M.1370415057.A.A2F.html"," 6/05","18"
"57","[<U+8CA0><U+96F7>] <U+5730><U+7403><U+904E><U+5F8C>after earth","pttnowash","/bbs/movie/M.1370415847.A.0E3.html"," 6/05","21"
"58","[<U+65B0><U+805E>] <U+5C0F><U+5E03><U+65B0><U+7247><U+5927><U+9678><U+78B0><U+58C1> <U+88D8><U+8389><U+518D><U+66DD><U+8C50><U+80F8><U+76F8><U+633A>","spinmmind","/bbs/movie/M.1370416465.A.D6B.html"," 6/05","8"
"59","[<U+8A0E><U+8AD6>] <U+9999><U+6E2F><U+6700><U+6703><U+6F14><U+7684><U+5973><U+6F14><U+54E1>","creamsodaplz","/bbs/movie/M.1370416723.A.AF5.html"," 6/05","<U+7206>"
"60","[<U+8A0E><U+8AD6>] How It Should Have Ended?  <U+96FB><U+5F71><U+7D50><U+5C40><U+6539><U+7DE8>","heatthree","/bbs/movie/M.1370417757.A.457.html"," 6/05","4"
"61","[<U+8D08><U+7968>] <U+3010><U+6DD2><U+53B2><U+4EBA><U+59BB><U+3011><U+96FB><U+5F71><U+8D08><U+7968><U+6D3B><U+52D5>-<U+53F0><U+5357><U+5A01><U+79C0><U+5F71><U+57CE>","christpisces","/bbs/movie/M.1370418596.A.5E2.html"," 6/05",""
"62","Fw: [<U+7DB2><U+5BA3>] <U+81FA><U+5927><U+96FB><U+5F71><U+7BC0> <U+516D><U+6708><U+7279><U+6620> <U+5C0D><U+9762><U+7684><U+5973><U+5B69><U+6BBA><U+904E><U+4F86>","pacificocean","/bbs/movie/M.1370419058.A.45B.html"," 6/05",""
"63","[<U+5FC3><U+5F97>] <U+5BE6><U+73FE><U+5922><U+60F3>-<U+4E0D><U+8001><U+9A0E><U+58EB><U+3001><U+8B8A><U+8EAB><U+8207><U+5FD7><U+6C23>","ejywar","/bbs/movie/M.1370419104.A.63B.html"," 6/05","3"
"64","[<U+8ACB><U+76CA>] <U+6709><U+96F7> <U+51FA><U+795E><U+5165><U+5316><U+4E4B><U+5C0F><U+5C0F>bug","louisetian","/bbs/movie/M.1370421799.A.330.html"," 6/05","1"
"65","[<U+554F><U+7247>] <U+5973><U+4E3B><U+89D2><U+6709>2<U+7A2E><U+4E0D><U+540C><U+547D><U+904B><U+7684><U+96FB><U+5F71>","hmn","/bbs/movie/M.1370422002.A.6C6.html"," 6/05","9"
"66","[<U+8ACB><U+76CA>] <U+5384><U+591C><U+8B8A><U+594F><U+66F2>","yangstar1023","/bbs/movie/M.1370423529.A.7E1.html"," 6/05","4"
"67","[<U+65B0><U+805E>] <U+53F0><U+7063><U+85DD><U+6587><U+754C><U+5927><U+5496><U+671D><U+8056>«<U+5370><U+8C61><U+96F7><U+8AFE><U+74E6>»","chewayne","/bbs/movie/M.1370424973.A.396.html"," 6/05","2"
"68","[<U+7121><U+96F7>]<U+666E><U+901A><U+5230><U+4E0D><U+80FD><U+518D><U+666E><U+901A><U+7684><U+5730><U+7403><U+904E><U+5F8C> <U+5225><U+770B>IMAX ","fundgto1975","/bbs/movie/M.1370426826.A.A3E.html"," 6/05","13"
"69","[<U+8A0E><U+8AD6>] <U+51FA><U+795E><U+5165><U+5316> <U+6709><U+96F7>","h2030625","/bbs/movie/M.1370426994.A.D33.html"," 6/05",""
"70","[<U+65B0><U+805E>] <U+8D99><U+53C8><U+5EF7><U+3001><U+9AD8><U+5713><U+5713><U+5B9A><U+60C5><U+4F5C>«<U+641C><U+7D22>»<U+89D2><U+9010><U+5967><U+65AF><U+5361>","bswan","/bbs/movie/M.1370427576.A.9C7.html"," 6/05","9"
"71","[<U+554F><U+7247>] <U+5728>6.7<U+5E74><U+524D><U+95DC><U+65BC><U+8173><U+8E0F><U+8ECA><U+7684><U+96FB><U+5F71>","FJHS","/bbs/movie/M.1370429361.A.E11.html"," 6/05","4"
"72","[<U+65B0><U+805E>] <U+5922><U+5DE5><U+5EE0>:<U+51FA><U+53E3><U+9678><U+88FD><U+96FB><U+5F71><U+5230><U+5168><U+4E16><U+754C>","iam168888888","/bbs/movie/M.1370429696.A.256.html"," 6/05",""
"73","[<U+666E><U+96F7>] After earth ","vatin","/bbs/movie/M.1370430454.A.AED.html"," 6/05","5"
"74","[<U+8ACB><U+76CA>] <U+963F><U+5B24><U+7684><U+5922><U+4E2D><U+60C5><U+4EBA> <U+96A8><U+8457><U+4E0D><U+540C><U+6A02><U+5668><U+7684><U+52A0><U+5165>","chaos0807","/bbs/movie/M.1370430662.A.356.html"," 6/05","3"
"75","[<U+597D><U+96F7>] <U+674E><U+5B89><U+7684><U+7406><U+6027><U+8207><U+611F><U+6027>","prc","/bbs/movie/M.1370432588.A.F7D.html"," 6/05","7"
"76","[<U+65B0><U+805E>] <U+5927><U+9678><U+96FB><U+5F71><U+914D><U+984D><U+9650><U+91CF> <U+6731><U+5EF6><U+5E73><U+7832><U+8F5F><U+653F><U+5E9C>","tokudane","/bbs/movie/M.1370432655.A.3EA.html"," 6/05","5"
"77","[<U+65B0><U+805E>] «<U+98E2><U+9913><U+904A><U+6232>»<U+60E1><U+641E><U+7248><U+96FB><U+5F71><U+5168><U+65B0><U+9810><U+544A><U+51FA><U+7210>!","friday5","/bbs/movie/M.1370433867.A.AA7.html"," 6/05","16"
"78","[<U+597D><U+96F7>] <U+7121><U+6575><U+7834><U+58DE><U+738B>","prc","/bbs/movie/M.1370433873.A.9E5.html"," 6/05","5"
"79","[<U+8ACB><U+76CA>] NO CAPES!","wildbloodcat","/bbs/movie/M.1370434662.A.290.html"," 6/05","2"
"80","[<U+5927><U+7206><U+70B8><U+6027><U+721B><U+96F7>] <U+73A9><U+547D><U+95DC><U+982D>6  ","bandongo","/bbs/movie/M.1370435879.A.27E.html"," 6/05","X1"
"81","[<U+8F49><U+9304>] <U+738B><U+5BF6><U+5F37>(<U+50BB><U+6839>):<U+5927><U+54E5><U+662F><U+6211><U+8EAB><U+5F8C><U+90A3><U+68F5>""<U+6A39>""","wty","/bbs/movie/M.1370436363.A.AF7.html"," 6/05","9"
"82","[<U+7247><U+55AE>] <U+4E92><U+76F8><U+559C><U+6B61><U+7684><U+5169><U+500B><U+4EBA><U+59CB><U+7D42><U+6C92><U+6709><U+5728><U+4E00><U+8D77>?","startar","/bbs/movie/M.1370436553.A.A4A.html"," 6/05","<U+7206>"
"83","[<U+8A0E><U+8AD6>] <U+60E1><U+4E4B><U+6559><U+5178><U+7684><U+5E7E><U+500B><U+5C0F><U+554F><U+984C> <U+61C9><U+8A72><U+662F><U+6709><U+96F7>","lolav","/bbs/movie/M.1370437270.A.3C2.html"," 6/05","6"
"84","Re: [<U+8ACB><U+76CA>] <U+5730><U+7403><U+904E><U+5F8C><U+600E><U+90FD><U+9084><U+6C92><U+9109><U+6C11><U+5F71><U+8A55>","twyes1688","/bbs/movie/M.1370437896.A.D8F.html"," 6/05","10"
"85","Re: [<U+597D><U+96F7>]<U+6C7A><U+6BBA><U+4EE4> ","Verola","/bbs/movie/M.1370438199.A.31E.html"," 6/05","9"
"86","[<U+8CA0><U+96F7>] <U+5730><U+7403><U+904E><U+5F8C>","johnny30315","/bbs/movie/M.1370439947.A.E5C.html"," 6/05","47"
"87","[<U+597D><U+96F7>] <U+5225><U+770B><U+9810><U+544A><U+8D85><U+597D><U+770B><U+7684><U+51FA><U+795E><U+5165><U+5316> ","justfor48","/bbs/movie/M.1370442945.A.E2C.html"," 6/05","10"
"88","[<U+666E><U+96F7>] <U+5730><U+7403><U+904E><U+5F8C>","dolaamon7673","/bbs/movie/M.1370444138.A.476.html"," 6/05","4"
"89","[<U+554F><U+7247>] <U+985E><U+4F3C>paperman<U+7684><U+5730><U+9435><U+5857><U+9D09><U+611B><U+60C5><U+77ED><U+7247>","suneo31","/bbs/movie/M.1370445626.A.352.html"," 6/05","6"
"90","[<U+666E><U+96F7>] <U+5730><U+7403><U+904E><U+5F8C>...","QooMicky","/bbs/movie/M.1370445669.A.510.html"," 6/05","10"
"91","[<U+666E><U+96F7>] <U+51FA><U+795E><U+5165><U+5316> Now You See Me","houseau3","/bbs/movie/M.1370447363.A.DA3.html"," 6/05","8"
"92","[<U+597D><U+96F7>] <U+73A9><U+547D><U+95DC><U+982D>6 - <U+6B20><U+97D3><U+54E5><U+4E00><U+500B><U+4EA4><U+4EE3>!","otherside","/bbs/movie/M.1370448360.A.79C.html"," 6/06","9"
"93","[<U+8A0E><U+8AD6>] <U+300C><U+4EBA><U+985E><U+6E05><U+9664><U+8A08><U+756B><U+300D><U+5DF2><U+7D93><U+6253><U+7B97><U+8981><U+62CD><U+7E8C><U+96C6>","beckseaton","/bbs/movie/M.1370448629.A.182.html"," 6/06","19"
"94","[<U+65B0><U+805E>] <U+3010><U+646F><U+611B><U+6C38><U+6046><U+3011><U+571F><U+8033><U+5176><U+8FA3><U+59B9>,<U+52FE><U+7537><U+8457><U+5E8A><U+5439><U+5587><U+53ED>","kkaicd1","/bbs/movie/M.1370449197.A.2DB.html"," 6/06","1"
"95","[<U+5DE8><U+96F7>]Man of Steel<U+7684><U+5287><U+60C5> ","sunny1991225","/bbs/movie/M.1370450265.A.CC9.html"," 6/06","22"
"96","Re: [<U+6709><U+96F7>] <U+518D><U+770B><U+6436><U+6551><U+96F7><U+6069><U+5927><U+5175><U+5C0F><U+611F>","McCain","/bbs/movie/M.1370450303.A.FEA.html"," 6/06","24"
"97","[<U+8CA0><U+96F7>] <U+51FA><U+795E><U+5165><U+5316> - <U+5E7C><U+5E7C><U+73ED><U+7B49><U+7D1A><U+7684><U+667A><U+6167><U+72AF><U+7F6A>","michaelch","/bbs/movie/M.1370450452.A.AED.html"," 6/06","15"
"98","[<U+554F><U+7247>] <U+4E00><U+90E8><U+83EF><U+8A9E><U+7247>,<U+95DC><U+65BC><U+5783><U+573E><U+8ECA><U+7684>","vinceiverson","/bbs/movie/M.1370450895.A.CAB.html"," 6/06","3"
"99","[<U+554F><U+7247>] <U+6230><U+722D><U+7247> <U+64D4><U+4EFB><U+8CA0><U+8CAC><U+901A><U+77E5><U+6B7B><U+8A0A><U+7684><U+5DE5><U+4F5C>","KiKen","/bbs/movie/M.1370452754.A.C6E.html"," 6/06","2"
"100","Re: [<U+65B0><U+805E>] <U+5927><U+9678><U+96FB><U+5F71><U+914D><U+984D><U+9650><U+91CF> <U+6731><U+5EF6><U+5E73><U+7832><U+8F5F><U+653F><U+5E9C>","hoopps","/bbs/movie/M.1370455263.A.EFF.html"," 6/06","6"
"101","[<U+666E><U+96F7>] <U+5730><U+7403><U+904E><U+5F8C> ","ppoyi","/bbs/movie/M.1370455916.A.7FA.html"," 6/06","4"
"102","[<U+8A0E><U+8AD6>] <U+73A9><U+547D><U+95DC><U+982D>6 <U+7591><U+554F>","hubertliang","/bbs/movie/M.1370456410.A.51C.html"," 6/06","3"
"103","[<U+8CA0><U+96F7>] <U+8718><U+86DB><U+4EBA><U+9A5A><U+5947><U+518D><U+8D77>..<U+53F2><U+4E0A><U+7A76><U+6975><U+721B><U+7247>","whatafuck","/bbs/movie/M.1370457215.A.B14.html"," 6/06","55"
"104","[<U+8CA0><U+96F7>]<U+5730><U+7403><U+904E><U+5F8C> <U+4E4B><U+9B54><U+7269><U+7375><U+4EBA>? ","yesmango","/bbs/movie/M.1370457774.A.D55.html"," 6/06","9"
"105","[<U+666E><U+96F7>]«<U+6F02><U+6D41><U+793E><U+7FA4>»<U+795E><U+79D8><U+539F><U+56E0>,<U+5B69><U+7AE5><U+96C6><U+9AD4><U+6D88><U+5931> ","bradcool","/bbs/movie/M.1370459584.A.B0D.html"," 6/06","3"
"106","[ <U+60E1> <U+96F7>]<U+5730><U+7403><U+904E><U+5F8C> ","RRloveDD","/bbs/movie/M.1370465137.A.2BE.html"," 6/06","7"
"107","[<U+65B0><U+805E>]  <U+53F2><U+67EF><U+897F><U+65AF><U+660E><U+590F><U+53F0><U+5317><U+62CD><U+7247> <U+8718><U+86DB><U+4EBA><U+6C89><U+9ED8><U+50B3><U+6559> ","octobird","/bbs/movie/M.1370467781.A.E28.html"," 6/06","8"
"108","Re: [<U+8CA0><U+96F7>] <U+51FA><U+795E><U+5165><U+5316> - <U+5E7C><U+5E7C><U+73ED><U+7B49><U+7D1A><U+7684><U+667A><U+6167><U+72AF><U+7F6A>","p52189","/bbs/movie/M.1370467971.A.F1F.html"," 6/06","4"
"109","[<U+8F49><U+9304>] <U+908A><U+82B9>:<U+6CD5><U+570B><U+96FB><U+5F71><U+754C><U+7684>“<U+6050><U+6016><U+5206><U+5B50>”","wty","/bbs/movie/M.1370468785.A.016.html"," 6/06",""
"110","[<U+8D08><U+7968>] <U+770B><U+96FB><U+5F71><U+611B><U+53F0><U+7063> <U+96FB><U+5F71><U+7BC0><U+7968><U+5238><U+8D08><U+734E><U+8FA6><U+6CD5>","airportman","/bbs/movie/M.1370482694.A.464.html"," 6/06",""
"111","[<U+7121><U+96F7>] <U+665A><U+5A18><U+4E0B><U+90E8>:<U+7F6A><U+8272>","milkdicky","/bbs/movie/M.1370486508.A.133.html"," 6/06","2"
"112","[<U+8A0E><U+8AD6>] <U+300C><U+9670><U+5152><U+623F>2<U+300D><U+9810><U+544A>","beckseaton","/bbs/movie/M.1370487934.A.6B9.html"," 6/06","22"
"113","[<U+8F49><U+9304>] <U+5F35><U+85DD><U+8B00>:<U+6240><U+6709><U+4E00><U+5207>,<U+9084><U+5728><U+8DEF><U+4E0A>","wty","/bbs/movie/M.1370488824.A.60B.html"," 6/06","2"
"114","[<U+554F><U+7247>] <U+4E00><U+90E8><U+8D99><U+6B63><U+5E73><U+6709><U+5BA2><U+4E32><U+7684><U+53F0><U+7247>(<U+5916><U+661F><U+4EBA><U+53F0><U+7063><U+73FE><U+5F62><U+8A18>)","Zenxiety","/bbs/movie/M.1370492010.A.D1A.html"," 6/06","3"
